,county_name,icu_capacity,threshold_for_icu,hosp_capacity,threshold_for_hosp,recommended_threshold
0,ALAMEDA,146.0,23.0,929.0,56.0,23.0
1,AMADOR,3.0,,19.0,,
2,BUTTE,24.0,2.0,147.0,6.0,6.0
3,CALAVERAS,4.0,,9.0,,
4,COLUSA,3.0,,18.0,,
5,CONTRA COSTA,85.0,12.0,539.0,30.0,23.0
6,DEL NORTE,3.0,,15.0,,
7,EL DORADO,14.0,1.0,60.0,2.0,2.0
8,FRESNO,78.0,11.0,614.0,35.0,23.0
9,GLENN,,,24.0,,
10,HUMBOLDT,13.0,1.0,98.0,3.0,3.0
11,IMPERIAL,14.0,1.0,88.0,3.0,3.0
12,INYO,2.0,,10.0,,
13,KERN,78.0,11.0,475.0,26.0,23.0
14,KINGS,11.0,,60.0,2.0,2.0
15,LAKE,4.0,,24.0,,
16,LASSEN,,,11.0,,
17,LOS ANGELES,1054.0,217.0,6950.0,480.0,217.0
18,MADERA,26.0,2.0,60.0,2.0,2.0
19,MARIN,15.0,1.0,188.0,8.0,8.0
20,MARIPOSA,,,9.0,,
21,MENDOCINO,8.0,,50.0,1.0,1.0
22,MERCED,12.0,,80.0,2.0,2.0
23,MODOC,,,10.0,,
24,MONO,1.0,,7.0,,
25,MONTEREY,15.0,1.0,235.0,11.0,11.0
26,NAPA,24.0,2.0,127.0,5.0,5.0
27,NEVADA,4.0,,57.0,1.0,1.0
28,ORANGE,307.0,56.0,1895.0,122.0,56.0
29,PLACER,41.0,4.0,205.0,9.0,9.0
30,PLUMAS,,,18.0,,
31,RIVERSIDE,189.0,32.0,1298.0,81.0,32.0
32,SACRAMENTO,188.0,32.0,938.0,57.0,32.0
33,SAN BENITO,2.0,,8.0,,
34,SAN BERNARDINO,243.0,43.0,1259.0,78.0,43.0
35,SAN DIEGO,298.0,54.0,2286.0,149.0,54.0
36,SAN FRANCISCO,163.0,27.0,886.0,53.0,27.0
37,SAN JOAQUIN,40.0,4.0,410.0,22.0,22.0
38,SAN LUIS OBISPO,24.0,2.0,157.0,7.0,7.0
39,SAN MATEO,48.0,5.0,421.0,23.0,23.0
40,SANTA BARBARA,40.0,4.0,260.0,13.0,13.0
41,SANTA CLARA,219.0,38.0,1098.0,67.0,38.0
42,SANTA CRUZ,7.0,,121.0,5.0,5.0
43,SHASTA,35.0,3.0,204.0,9.0,9.0
44,SIERRA,,,,,
45,SISKIYOU,4.0,,23.0,,
46,SOLANO,41.0,4.0,217.0,10.0,10.0
47,SONOMA,36.0,3.0,259.0,13.0,13.0
48,STANISLAUS,46.0,5.0,472.0,26.0,23.0
49,SUTTER,,,7.0,,
50,TEHAMA,4.0,,33.0,,
51,TRINITY,,,13.0,,
52,TULARE,33.0,3.0,235.0,11.0,11.0
53,TUOLUMNE,3.0,,36.0,1.0,1.0
54,VENTURA,62.0,8.0,446.0,24.0,23.0
55,YOLO,7.0,,39.0,1.0,1.0
56,YUBA,12.0,,90.0,3.0,3.0
